stone,chakra,description,hardness,physical_description
serpentine,,"Serpentine connects with the resonance and vibration of the natural world, helping you embody your true nature. It supports transformation and shedding old habits & patterns so you can live your best life.",4.0,"Serpentine technically refers to a group of related minerals that often occur together in the same rock. Rocks composed of one or more types of serpentine are called serpentinite. However for gemstone purposes this distinction is generally ignored and rocks containing serpentine are just called serpentine regardless of their composition.
One member of the serpentine group, chrysotile, forms into asbestos, a fibrous formation that can occur in several different minerals. Asbestos has many industrial applications but is also carcinogenic. However, it is only dangerous in microscopic powder form when that powder becomes airborne and is inhaled. As long as it is safely sealed inside a rock, is poses no danger. (It should also be noted that silica, which is present in many gemstones, causes silicosis when inhaled in dust form–if you are grinding or drilling gemstones, be sure to understand the safety concerns).
Serpentine ranges in color from pale yellowish green through various shades of green to almost black, often with a mottled or scaly appearance. It is soft in terms of gemstones, around 2.5-4 on the Mohs scale. It It is usually opaque although it can sometimes be translucent.
Serpentine is found in many places around the world. It is sometimes passed for jade and has been called “false jade”.
"
shattuckite,,,3.75,
shomiokite,,,2.5,
shortite,,,3.0,
shungite,,Shungite is a lustrous black rock consisting almost entirely of carbon. It helps purify negative emotions and energies and transmute them into Light.,3.75,"Shungite is a lustrous black rock consisting almost entirely of carbon, with a number of other minerals distributed throughout. Its origin appears to be biological, like coal or oil. It has also been found to contain fullerenes, very interesting carbon structures with unique properties that were named after Buckminster Fuller (also called buckyballs). However, it should be noted that  these only occur in very trace amounts in shungite.
Shungite has been found to have antibacterial properties useful in purifying water, and is being studied for potential medical applications. However, this may be due to its carbon content rather than particular aspects of shungite–carbon is commonly used in water filters already.
"
siderite,,,4.0,
sillimanite,,,7.0,
silver,,,2.75,
simpsonite,,,7.25,
sinhalite,,,6.75,
smaragdite,,,6.25,
smithsonite,,,5.0,
smoky quartz,[1],"Smoky quartz clears negative energies from the environment by grounding them in the Earth. It also serves as a general grounding stone, helping you integrate insights from higher vibrations by keeping your feet on the ground and helping you handle practical matters. ",7.0,"A brownish-gray variety of quartz that ranges from transparent to almost opaque. Smoky quartz can be created artificially by irradiating clear quartz.
"
snowflake obsidian,,"When you are feeling hopeless, snowflake obsidian can help you regain your courage to persevere, and help you see opportunities you may have overlooked to improve your situation. ",,"Snowflake obsidian is a form of black obsidian that contains small white crystal impurities made of crystobalite. The end result is a beautiful black color with distinctive grayish white patterns throughout the surface.
Obsidian is a natural glass which is formed through volcanic activity by the cooling of molten lava. Snowflake obsidian forms when the mineral cristobalite is present and gets trapped in the obsidian as it cools. Cristobalite is a silica, similar to quartz but with a different crystal structure. As obsidian is a glass and cristobalite is a crystal, snowflake obsidian is essentially a lot of tiny crystals trapped in black glass rock.
"
sodalite,"[5, 6]","Sodalite stimulates the mind and consciousness to create enhanced intuition, creativity, and powers of analysis and observation. It can enhance the ability to be an objective witness of your internal processes, therefore assisting in meditation and inner journeying. It can be a guide in looking deeply inside to discover where you are on your life’s path and where you need to go.",5.75,"Sodalite is a royal blue silicate mineral with white streaks of calcite.
"
sogdianite,,,6.5,
spessartine,,,7.25,
sphalerite,,,3.75,
spinel,,"Spinel is a stone of hope, revitalization, and feeling the joy of being alive. It brings new energy, perspectives, and appreciation for the wonderful world around you. If you feel called to re-align your life to one of joy and inspiration, fully backed by the supportive hands of the Universe, spinel is the stone for you!",8.0,"Spinel is a fairly hard mineral composed of magnesium aluminum oxide. It comes in many shades from transparent (colorless) to shades of pink, red, blue, yellow, green, black, and brown. It is sometimes mistaken for other precious stones, particularly ruby. It is also sometimes artificially created for industrial use.
"
spodumene,,,6.75,
spurrite,,,5.0,
staurolite,,,7.25,
stibiotantalite,,,5.5,
stichtite,,,1.75,
stolzite,,,2.75,
strass,,,5.0,
strontianite,,,3.5,
sturmanite,,,2.5,
sugilite,,Sugilite is a purple gemstone that helps you remember your soul’s purpose and pursue it. It also helps with lucid dreaming and provides psychic protection.,6.25,"Sugilite is a rare pinkish-purple silicate mineral first found in Japan in 1944. It has since been found in various areas around the world, but most of the pieces you find on the market are mined in South Africa.
"
sulphur,,,1.75,
sunstone,[2],"Sunstone embodies the generosity and expansiveness of the sun, supporting and motivating creativity, leadership, and vibrant aliveness.",,"Sunstone is an orange to reddish-brown variety of feldspar with sparkling metallic inclusions. This sparkle effect is sometimes called aventurescence and is also exhibited by aventurine and the manufactured glass called goldstone. Consequently, sunstone is sometimes called, “aventurine feldspar”. 
In the case of sunstone, the metallic inclusions are usually copper, but can also be hematite or the mineral goethite. It is the flatness of the inclusions that give the appearance of glitter, but that also means the cut of the stone matters in how much light gets reflected off of the metal platelets. Sunstone is transparent to translucent and sits at a 6 on the Mohs hardness scale.
"
synth. moissanit,,,9.5,
sérandite,,,4.75,
taafeite,,,8.25,
talc,,,1.0,
tantalite,,,6.25,
tanzanite,[6],"By harmonizing and linking the heart and third-eye chakra, Tanzanite is a powerful stone for activating compassion and increasing the ability to speak the truth in your heart. It is an integrating stone that helps awaken an enlightened consciousness based in wholeness.",6.75,"Tanzanite was named after Tanzania where it was first discovered, but it is also referred to as blue zoisite. It is primarily found in blue or blue-violet although it can also be found in golden-brown (which turns blue when heated).
"
tephroite,,,6.0,
thaumasite,,,3.5,
thomsonite,,,5.25,
thorianite,,,6.75,
tiger eye,,"Tiger eye helps you stay centered and calmly practical despite the ups and downs of life. It helps you balance polarities and accept contradictions, taking life as it comes and responding to the needs of the moment without judgment. It is a helpful stone for protracted difficult situations, as it lends endurance and keeps you in the best state of mind to deal with problems as they come without getting overwhelmed, hopeless, or reactionary.",,"A golden-brown banded variety of quartz that exhibits chatoyancy, or the “cat’s eye effect”–a luminous streak that moves as you rotate the stone. Faceting tiger eye can sometimes dull this effect, so usually it is worn as round beads or cabochons.
"
tiger iron,,"Tiger Iron is combination of Tiger Eye, Red Jasper, and Hematite, making it a powerful grounding stone. It increases stamina and strength both physically and in terms of willpower and determination. It is excellent for people needing support to create healthier habits.",,"Tiger iron is an aggregate stone containing bands of tiger eye, red jasper, and hematite. The combination is golden brown, dark red, and bluish-gray. The look of each piece depends on the relative quantities of each. Tiger iron is sometimes called “mugglestone”, but there is no relation to the Harry Potter books. It was named after Mucklestone in England, where it was first found.
Tiger eye and jasper are both forms of quartz.
"
tiger's eye,[3],,,
tinzenite,,,6.75,
titanite,,,5.25,
topaz,,"Topaz comes in many colors which have different but related properties. White/clear topaz acts as a magnifier, helping you manifest what you focus on. Golden topaz also helps in manifestation, but more slowly and with more emphasis on connecting and accepting your life path. Blue topaz is a magnifier for psychic abilities.",8.0,"Topaz is a hard stone, an eight on the Mohs Scale of Hardness. It can be found in many colors, including red, orange, peach, pink, gold, yellow, blue, brown, green, white, and clear. There are many techniques used to alter the color of topaz as well (more on this below). Most commercial topaz comes from Brazil, but it is also found in Sri Lanka, India, Russia, U.S., Canada, Mexico, Italy, Japan, and many other places around the world.
Topaz is associated with the astrological sign Sagittarius, and is the birthstones for November (yellow topaz and citrine). Blue topaz is a birthstone for December, and pure topaz (clear/white) is often used in place of diamond, the birthstones for April.
Topaz is also the anniversary stone for the fourth, nineteenth, and twenty third years of marriage. The word topaz means fire in Sanskrit. Because of its hardness, topaz is usually faceted before setting it into jewelry.
Topaz is a stone that is often altered, creating colors not found naturally, or enhancing natural colors to be more vibrant. For example, blue topaz is often irradiated to enhance the color. Topaz is also exposed to titanium vapors, creating mystic topaz. These techniques, and others, have allowed for a whole new generation of topaz stones to emerge, and have allowed mainstream customers to purchase these beautiful stones.
"
tourmaline,,"Tourmaline carries the frequency of natural joy and beauty. Tourmaline comes in a wide variety of types and colors. Watermelon tourmaline combines pink and green tourmaline, bringing the energies of both and creating an ideal stone for working with the heart. Black tourmaline is one of the best protection crystals available and widely used for metaphysical work. Pink tourmaline is beneficial for emotional healing.",,"Tourmaline is a silicate mineral with a hardness of 7 on the Moh’s scale. It is found all over the world and comes in a variety of colors including shades of red, pink, yellow, black, green, and blue. Although it can be found many places, fine specimens useful for jewelry are still considered rare and valuable. It occurs naturally in columnar formations that are often triangular in cross-section.
"
tremolite,,,5.5,
triphylite,,,4.5,
tugtupite,,,5.75,
turmaline,,,7.25,
turquoise,"[5, 6]","Like most blue gemstones, turquoise activates the throat chakra, helping us speak our wisdom and truth. The gift of turquoise is in bringing an awareness that every part of us is an element of our Divine self, to be understood and embraced. The heart of compassion is knowing that darkness and pain is a universal human experience, and only by integrating these aspects of existence can we become whole. Turquoise encourages to accept ourselves, warts and all.",5.5,
ulexite,,,2.25,
unakite,,"Unakite supports the physical body by purging toxicity from old emotional wounds and attachments, anger and resentment, and bad habits like overeating. It gradually supports a healthy alignment of physical, mental, and spiritual bodies, helping the body become a support for higher experiences. ",,"Unakite is a pink and green form of jasper.
"
uvarovite,,,7.25,
vanadinite,,,2.75,
variscite,,,4.5,
vayrynenite,,,5.0,
vesuvianite,,,6.5,
villiaumite,,,2.25,
vivianite,,,1.5,
vlasovite,,,6.0,
wardite,,,4.75,
watermelon tourmaline,[4],"Watermelon Tourmaline supports heart-centered awareness, calming the mind and emotions and bringing us into alignment with deep joy and peace.",,"Watermelon tourmaline is named for its coloring–some pieces have a pink center surrounded by green, like a watermelon, while others just have pink and green together in the same stone. They are a combination of pink tourmaline and green tourmaline, and are found wherever both are present.
"
wavellite,,,3.75,
weloganite,,,3.5,
whewellite,,,2.75,
white jade,[7],,,
willemite,,,5.5,
witherite,,,3.25,
wolframite,,,5.25,
wollastonite,,,4.75,
wulfenite,,,3.0,
wurtzite,,,3.75,
xonotlite,,,6.25,
yag,,,8.5,
yellow jade,[3],,,
yellow jasper,[3],,,
yellow sapphire,,"Yellow sapphire is one of the best stones for manifestation, wealth-building, and creating success. It strengthens your willpower, and helps you overcome fear and doubt and stay the course no matter what.",,"Yellow sapphire is the yellow variety of sapphire, a very hard stone consisting of the mineral corundum. Sapphires are most commonly a brilliant blue color, but they also come in violent, pink, white, green, yellow, and black. Ruby is also a variety of corundum. At a 9 on the Moh’s scale, sapphire makes an excellent stone for jewelry, being strong, durable, and very hard to scratch. In fact, if you have sapphire jewelry it is best to store it wrapped so it doesn’t scratch your other jewelry or gems.
"
yellow topaz,[3],,,
yttrotantalite,,,5.25,
yugawaralite,,,4.5,
zektzerite,,,6.0,
zincite,,,4.5,
zircon,,Zircon is an energy-stimulating stone that can help “wake up” any chakra. It is also good for grounding idealistic or imaginative visions into practical applications. They amplify other stones and can also be used as psychic protection.,7.0,"Zircon is usually brownish yellow or red when found naturally, and is heat-treated to get blue, red, yellow, or clear stones.
Blue zircon is one of the birthstones for December, along with tanzanite and turquoise.
"
zirconia,,,8.5,
zoisite,,,6.25,
zunyite,,,7.0,
